brand,model,network_technology,t2G_bands,t3G_bands,t4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price,img_url,N/A
Oppo,R601,GSM,GSM 900 / 1800 ,N/A,N/A,N/A,Yes,Yes,2012  November,Available. Released 2012  December,112.8 x 55.5 x 14.3 mm (4.44 x 2.19 x 0.56 in),102.5,3.6,Yes,IPS LCD capacitive touchscreen  16M colors,3.0 inches (~42.8% screen-to-body ratio),320 x 480 pixels (~192 ppi pixel density),Android 4.0.4 (Ice Cream Sandwich),1.0 GHz Cortex-A9,Mediatek MT6515,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,3.15 MP,No,Yes,Yes,Wi-Fi 802.11 b/g| hotspot,Yes,N/A,N/A,No,microUSB 2.0,Accelerometer| proximity,Li-Ion 1100 mAh battery,White,320,http://cdn2.gsmarena.com/vv/bigpic/oppo-r601.jpg,N/A
Oppo,R821T FInd Muse,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 ,N/A,HSPA,Yes,Yes,2013,Available. Released 2013,123 x 63.5 x 9.9 mm (4.84 x 2.5 x 0.39 in),N/A,N/A,Dual SIM (Mini-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.0 inches (~58.3% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.2 (Jelly Bean),Dual-core 1.2 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,3.15 MP,VGA,Yes,Yes,Wi-Fi 802.11 b/g| hotspot,Yes,Yes with A-GPS,N/A,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1700 mAh battery,White,290,http://cdn2.gsmarena.com/vv/bigpic/oppo-find-muse.jpg,N/A
Oppo,R811 Real,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2, TD-SCDMA,N/A,HSPA,Yes,Yes,2012  October,Available. Released 2012  December,115.2 x 61.5 x 10.9 mm (4.54 x 2.42 x 0.43 in),119,4.2,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,3.5 inches (~51.5% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.0.4 (Ice Cream Sandwich),1.0 GHz Cortex-A9,Mediatek MT6515,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,3.15 MP| autofocus,Yes,Yes,Yes,Wi-Fi 802.11 b/g| hotspot,Yes,Yes with A-GPS,N/A,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1520 mAh battery,White,150,http://cdn2.gsmarena.com/vv/bigpic/oppo-r811-real.jpg,N/A
Oppo,T29,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,N/A,HSPA,Yes,Yes,2012  October,Available. Released 2012  October,131.5 x 67 x 10.5 mm (5.18 x 2.64 x 0.41 in),160,5.64,Yes,TFT capacitive touchscreen  16M colors,4.5 inches (~63.4% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,Mediatek MT6577,PowerVR SGX531u,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,N/A,No,microUSB 2.0,Accelerometer| proximity,Li-Ion 3150 mAh battery,Black,100,http://cdn2.gsmarena.com/vv/bigpic/oppo-t29.jpg,N/A
Oppo,R817 Real,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 ,N/A,HSPA,Yes,Yes,2012  October,Available. Released 2012  October,123 x 63 x 9.7 mm (4.84 x 2.48 x 0.38 in),125,4.41,Dual SIM (Mini-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.0 inches (~58.8% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,Mediatek MT6577,PowerVR SGX531u,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,N/A,No,microUSB 2.0,Accelerometer| proximity,Li-Ion 1710 mAh battery,White| Black,100,http://cdn2.gsmarena.com/vv/bigpic/oppo-r817-real.jpg,N/A
Oppo,R815T Clover,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,N/A,HSPA 42.2/5.76 Mbps,Yes,Yes,2013  April,Available. Released 2013  April,129.6 x 66.7 x 9.8 mm (5.10 x 2.63 x 0.39 in),141.5,4.97,Mini-SIM,IPS LCD capacitive touchscreen  16M colors,4.3 inches (~60.9% screen-to-body ratio),480 x 800 pixels (~217 ppi pixel density),Android 4.2.1 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,N/A,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1700 mAh battery,White,100,http://cdn2.gsmarena.com/vv/bigpic/oppo-r815t.jpg,N/A
Oppo,Find,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,N/A,HSPA,Yes,Yes,2012  June,Available. Released 2012  July,125 x 66 x 6.7 mm (4.92 x 2.60 x 0.26 in),125,4.41,Micro-SIM,Super AMOLED Plus capacitive touchscreen  16M colors,4.3 inches (~63.8% screen-to-body ratio),480 x 800 pixels (~217 ppi pixel density),Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.5 GHz Krait,N/A,N/A,No,16 GB,1 GB RAM,8 MP| autofocus| dual-LED flash,1.3 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,2.0| A2DP,Yes with A-GPS,N/A,N/A,microUSB 2.0,Accelerometer| gyro| proximity| compass,Non-removable Li-Ion 1500 mAh battery,White| Black,100,http://cdn2.gsmarena.com/vv/bigpic/oppo-finder.jpg,N/A
Oppo,U701 Ulike,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,N/A,HSPA,Yes,Yes,2012  June,Available. Released 2012  June,123 x 64 x 9.7 mm (4.84 x 2.52 x 0.38 in),130,4.59,Yes,IPS LCD capacitive touchscreen  16M colors,4.0 inches (~57.9% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 2.3 (Gingerbread),1.0 GHz Cortex-A9,Mediatek MT6575,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,N/A,No,microUSB 2.0,Accelerometer| proximity| compass,Li-Ion 1710 mAh battery,White,80,http://cdn2.gsmarena.com/vv/bigpic/oppo-u701-ulike.jpg,N/A
Orange,San Diego,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,N/A,HSPA 21.1/5.76 Mbps,Yes,Yes,2012  February,Available. Released 2012  June,123 x 63 x 10 mm (4.84 x 2.48 x 0.39 in),117,4.13,Micro-SIM,TFT capacitive touchscreen  16M colors,4.0 inches (~58.1% screen-to-body ratio),600 x 1024 pixels (~297 ppi pixel density),Android 2.3.7 (Gingerbread)| upgradable to 4.0.4 (Ice Cream Sandwich),1.6 GHz,Intel Atom Z2460,PowerVR SGX540,No,16 GB (12 GB user available),1 GB RAM,8 MP| autofocus| LED flash,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,2.1| A2DP,Yes with A-GPS,Yes,No,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion battery,Black,190,http://cdn2.gsmarena.com/vv/bigpic/orange-san-diego.jpg,N/A
Orange,San Francisco II,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,N/A,HSPA,Yes,Yes,2011  November,Available. Released 2011  November,117 x 58.5 x 10.6 mm (4.61 x 2.30 x 0.42 in),120,4.23,Mini-SIM,TFT capacitive touchscreen  256K colors,3.5 inches (~50.9% screen-to-body ratio),480 x 800 pixels (~267 ppi pixel density),Android 2.3 (Gingerbread),800 MHz,N/A,N/A,microSD  up to 16 GB (dedicated slot),N/A,512 MB RAM,5 MP| autofocus| LED flash,Yes,Yes,Yes,Wi-Fi 802.11 b/g| hotspot,2.1| A2DP| EDR,Yes with A-GPS,N/A,Stereo FM radio| RDS,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion battery,Black,120,http://cdn2.gsmarena.com/vv/bigpic/Orange-San-Francisco-II.jpg,N/A
Palm,Pre 2,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,N/A,HSPA 7.2/2 Mbps,Yes,Yes,2010  October. Released 2010  November,Discontinued,100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in),145,5.11,Mini-SIM,TFT capacitive touchscreen  16M colors,3.1 inches (~47.7% screen-to-body ratio),320 x 480 pixels (~186 ppi pixel density),HP webOS 2.0,1.0 GHz,N/A,N/A,No,16 GB,512 MB RAM,5 MP| LED flash,No,Yes,Yes,Wi-Fi 802.11 b/g,2.1| A2DP| EDR,Yes with A-GPS,N/A,N/A,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion battery,Black,260,http://cdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg,N/A
Palm,Pre 2 CDMA,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,N/A,EV-DO Rev.A 3.1 Mbps,No,No,2010  October. Released 2010  October,Discontinued,100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in),145,5.11,Mini-SIM,TFT capacitive touchscreen  16M colors,3.1 inches (~47.7% screen-to-body ratio),320 x 480 pixels (~186 ppi pixel density),HP webOS 2.0,1.0 GHz,N/A,N/A,No,16 GB,512 MB RAM,5 MP| LED flash,No,Yes,Yes,Wi-Fi 802.11 b/g,2.1| A2DP,Yes with A-GPS,N/A,N/A,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion battery,Black,210,http://cdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg,N/A
Palm,Pixi Plus,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,N/A,HSPA 7.2/5.76 Mbps,Class 10,Class 10,2010  March. Released 2010  June,Discontinued,111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in),92.5,3.25,Mini-SIM,TFT capacitive touchscreen  256K colors,2.63 inches (~35.7% screen-to-body ratio),320 x 400 pixels (~195 ppi pixel density),Palm webOS,600 MHz ARM 11,Qualcomm MSM7627,Adreno 200,No,8 GB,N/A,2 MP| LED flash,No,Yes,Yes,Wi-Fi 802.11 b/g,2.1| A2DP,Yes with A-GPS,N/A,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1150 mAh battery,Black,210,http://cdn2.gsmarena.com/vv/bigpic/palm-pixi-plus-ofic.jpg,N/A
Palm,Pre Plus,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,N/A,HSPA 3.6/0.384 Mbps,Class 10,Class 10,2010  March. Released 2010  May,Discontinued,100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in),138,4.87,Mini-SIM,TFT capacitive touchscreen  16M colors,3.1 inches (~47.9% screen-to-body ratio),320 x 480 pixels (~186 ppi pixel density),Palm webOS 1.3.5,600 MHz Cortex-A8,N/A,PowerVR SGX,No,16 GB,512 MB RAM,3.15 MP| enhanced fixed focus| LED flash,No,Yes,Yes,Wi-Fi 802.11 b/g,2.1| A2DP,Yes with A-GPS,N/A,No,microUSB 2.0,Accelerometer,Removable Li-Ion 1150 mAh battery,Black,170,http://cdn2.gsmarena.com/vv/bigpic/palm-pre-plus-ofic.jpg,N/A
Palm,Pixi,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,N/A,HSPA 7.2/5.76 Mbps,Class 10,Class 10,2009  September. Released 2009  Q4,Discontinued,111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in),99.5,3.53,Mini-SIM,TFT capacitive touchscreen  256K colors,2.63 inches (~35.7% screen-to-body ratio),320 x 400 pixels (~195 ppi pixel density),Palm webOS,600 MHz ARM 11,Qualcomm MSM7627,Adreno 200,No,8 GB,N/A,2 MP| LED flash,No,Yes,Yes,No,2.1| A2DP,Yes with A-GPS,N/A,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1150 mAh battery,Black,120,http://cdn2.gsmarena.com/vv/bigpic/palm-pixi.jpg,N/A
Palm,Pre,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,N/A,HSPA 3.6/0.384 Mbps,Class 10,Class 10,2009  Februray. Released 2009  October,Discontinued,100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in),133,4.69,Mini-SIM,TFT capacitive touchscreen  16M colors,3.1 inches (~47.9% screen-to-body ratio),320 x 480 pixels (~186 ppi pixel density),Palm webOS,600 MHz Cortex-A8,N/A,PowerVR SGX,No,8 GB,256 MB RAM,3.15 MP| enhanced fixed focus| LED flash| ,No,Yes,Yes,Wi-Fi 802.11 b/g,2.1| A2DP (headset support only),Yes,N/A,No,microUSB,Accelerometer,Removable Li-Ion 1150 mAh battery,Black,180,http://cdn2.gsmarena.com/vv/bigpic/palm-pre.jpg,N/A
Palm,Treo Pro,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,N/A,HSPA,Class 10,Yes,2008  August. Released 2008  October,Discontinued,114 x 60 x 13.4 mm (4.49 x 2.36 x 0.53 in),133,4.69,Mini-SIM,TFT resistive touchscreen  65K colors,2.5 inches (~29.5% screen-to-body ratio),320 x 320 pixels (~181 ppi pixel density),Microsoft Windows Mobile 6.1 Professional,528 MHz ARM 11,Qualcomm MSM7201,Adreno 130,microSD  up to 8 GB (dedicated slot),100 MB,128 MB RAM,2 MP,No,Yes,Yes,Wi-Fi 802.11 b/g,2.0| A2DP,Yes,N/A,No,microUSB,N/A,Removable Li-Ion 1500 mAh battery,Obsidian ,70,http://cdn2.gsmarena.com/vv/bigpic/palm-treo-pro.jpg,N/A
Palm,Centro,GSM,GSM 850 / 900 / 1800 / 1900 ,N/A,N/A,N/A,Class 10,Class 10,2008  February. Released 2008  March,Discontinued,107.2 x 53.5 x 18.6 mm (4.22 x 2.11 x 0.73 in),124,4.37,Mini-SIM,TFT resistive touchscreen  65K colors,2.25 inches (~28.5% screen-to-body ratio),320 x 320 pixels (~201 ppi pixel density),Palm OS 5.4.9,32-bit Intel XScale PXA270 312 MHz,N/A,N/A,microSD  up to 4 GB (dedicated slot),64 MB,N/A,1.3 MP,No,Yes,No,No,1.2| A2DP,No,N/A,No,Yes,N/A,Removable Li-Ion 1150 mAh battery,Obsidian| Glacier| Midnight| Cobalt| Onyx| Electric Blue| Rose| Olive,70,http://cdn2.gsmarena.com/vv/bigpic/palm-centro.jpg,N/A
Palm,Treo 500v,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,N/A,Yes  384 kbps,Class 10,No,2007  September. Released 2008  February,Discontinued,110 x 61.5 x 16.5 mm (4.33 x 2.42 x 0.65 in),120,4.23,Mini-SIM,TFT  65K colors,2.4 inches (~26.4% screen-to-body ratio),320 x 240 pixels (~167 ppi pixel density),Microsoft Windows Mobile 6.0 Standard Edition,32-bit Intel XScale PXA270 312 MHz,N/A,N/A,microSD (dedicated slot),150 MB,N/A,2 MP,No,Yes,No,No,2.0| A2DP,No,N/A,No,miniUSB,N/A,Removable Li-Ion 1200 mAh battery,Black| White,90,http://cdn2.gsmarena.com/vv/bigpic/palm-treo500v.gif,N/A
Palm,Treo 750,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,N/A,Yes  384 kbps,Class 10,Yes,2007  February,Discontinued,111 x 58 x 22 mm (4.37 x 2.28 x 0.87 in),154,5.43,Mini-SIM,TFT resistive touchscreen  65K colors,2.5 inches (~31.3% screen-to-body ratio),240 x 240 pixels (~136 ppi pixel density),Microsoft Windows Mobile 5.0 PocketPC,300 MHz Samsung,N/A,N/A,miniSD  up to 2 GB,60 MB,N/A,1.3 MP,No,Yes,No,No,1.2| A2DP,No,N/A,No,Yes,N/A,Removable Li-Ion 1200 mAh battery,Black,80,http://cdn2.gsmarena.com/vv/bigpic/palm-treo750.gif,N/A
Palm,Treo 680,GSM,GSM 850 / 900 / 1800 / 1900 ,N/A,N/A,N/A,Class 10,Class 10,2006  October,Discontinued,111.8 x 58.4 x 20.3 mm (4.40 x 2.30 x 0.80 in),157,5.54,Mini-SIM,TFT resistive touchscreen  65K colors,2.5 inches (~30.9% screen-to-body ratio),320 x 320 pixels (~181 ppi pixel density),Palm OS 5.4.9,Intel PXA270 312 MHz,N/A,N/A,SD/MMC  up to 4 GB,64 MB,N/A,VGA,No,Yes,No,No,1.2| A2DP,No,N/A,No,Yes,N/A,Removable Li-Ion battery,Graphite| Crimson| Arctic| Copper,220,http://cdn2.gsmarena.com/vv/bigpic/palm-treo680.gif,N/A
Panasonic,Eluga i3 Mega,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE,Yes,Yes,2017  May,Available. Released 2017  June,154.6 x 77 x 9.4 mm (6.09 x 3.03 x 0.37 in),180,6.35,Dual SIM (Micro-SIM/Nano-SIM),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~70.1% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD  up to 128 GB,16 GB,3 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,N/A,FM radio,microUSB 2.0| USB On-The-Go,Accelerometer| proximity,Li-Ion 4000 mAh battery,Champagne Gold| Silver,11500,http://cdn2.gsmarena.com/vv/bigpic/panasonic-eluga-I3.jpg,N/A
Panasonic,P85,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE,Yes,Yes,2017  May,Available. Released 2017  May,145 x 72.2 x 9.4 mm (5.71 x 2.84 x 0.37 in),146.7,5.19,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.0 GHz,N/A,N/A,microSD  up to 64 GB,16 GB,2 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,N/A,FM radio with RDS; recording,microUSB 2.0| USB On-The-Go,Accelerometer| gyro| proximity,Li-Ion 4000 mAh battery,Grey| Gold,90,http://cdn2.gsmarena.com/vv/bigpic/panasonic-p85.jpg,N/A
Panasonic,Eluga Ray,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE,Yes,Yes,2017  May,Available. Released 2017  May,144.4 x 71.6 x 9.7 mm (5.69 x 2.82 x 0.38 in),169,5.96,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.7% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6737,N/A,microSD  up to 64 GB,16 GB,3 GB RAM,13 MP| autofocus| LED flash,5 MP| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,N/A,FM radio with RDS; recording,microUSB 2.0| USB On-The-Go,Fingerprint (front-mounted)| accelerometer| proximity| compass,Li-Ion 4000 mAh battery,Rose Gold| Space Grey| Gold,110,http://cdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray.jpg,N/A
Panasonic,Eluga Mark 2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2016  November,Available. Released 2016  November,151 x 76 x 7.7 mm (5.94 x 2.99 x 0.30 in),163,5.75,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~72.7% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 6.0 (Marshmallow),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP3,microSD  up to 128 GB (uses SIM 2 slot),32 GB,3 GB RAM,13 MP| f/2.2| autofocus| LED flash,5 MP| f/2.4| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,N/A,No,microUSB 2.0| USB On-The-Go,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Non-removable Li-Ion 3000 mAh battery,Gold,150,http://cdn2.gsmarena.com/vv/bigpic/panasonic-eluga-mark2.jpg,N/A
Panasonic,Eluga Ray X,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE,Yes,Yes,2017  April,Available. Released 2017  April,153.4 x 77 x 10.5 mm (6.04 x 3.03 x 0.41 in),193,6.81,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~70.6% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6737,N/A,microSD  up to 64 GB,32 GB,3 GB RAM,13 MP| autofocus| LED flash,5 MP| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,N/A,FM radio with RDS; recording,microUSB 2.0| USB On-The-Go,Fingerprint (front-mounted)| accelerometer| proximity| compass,Li-Ion 4000 mAh battery,Rose Gold| Space Grey| Gold,130,http://cdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-x.jpg,N/A
Panasonic,Eluga Ray Max,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE,Yes,Yes,2017  April,Available. Released 2017  April,148 x 73 x 9.5 mm (5.83 x 2.87 x 0.37 in),165,5.82,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.2 inches (~69.0% screen-to-body ratio),1080 x 1920 pixels (~424 ppi pixel density),Android 6.0 (Marshmallow),Octa-core 1.4 GHz Cortex-A53,Qualcomm MSM8937 Snapdragon 430,Adreno 505,microSD  up to 256 GB,32/64 GB,4 GB RAM,16 MP| autofocus| LED flash,8 MP| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,N/A,FM radio with RDS; recording,microUSB 2.0| USB On-The-Go,Fingerprint (front-mounted)| accelerometer| proximity| compass,Li-Ion 3000 mAh battery,Rose Gold| Space Grey| Gold,170,http://cdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-max.jpg,N/A
Panasonic,Eluga Pulse X,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE,Yes,Yes,2017  March,Available. Released 2017  March,152 x 77 x 8.1 mm (5.98 x 3.03 x 0.32 in),145,5.11,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~71.3% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.25 GHz Cortex-A53,N/A,N/A,microSD  up to 128 GB,16 GB,3 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,N/A,FM radio,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Non-removable Li-Ion 3000 mAh battery,Rose Gold| Dark Grey| Gold ,160,http://cdn2.gsmarena.com/vv/bigpic/panasonic-eluga-pulse-x.jpg,N/A
Panasonic,Eluga Pulse,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE,Yes,Yes,2017  March,Available. Released 2017  March,143 x 71.2 x 8 mm (5.63 x 2.80 x 0.31 in),133,4.69,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.7% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.25 GHz Cortex-A53,N/A,N/A,microSD  up to 128 GB (uses SIM 2 slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,N/A,FM radio,microUSB 2.0| USB On-The-Go,Fingerprint (rear-mounted)| accelerometer| proximity,Non-removable Li-Ion 2200 mAh battery,Rose Gold| Dark Grey| Gold,130,http://cdn2.gsmarena.com/vv/bigpic/panasonic-eluga-pulse.jpg,N/A
Panasonic,P88,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2016  December,Available. Released 2016  December,8.4 mm thickness,156,5.5,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.3 inches,720 x 1280 pixels (~277 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.25 GHz Cortex-A53,Mediatek MT6737M,Mali-T720MP2,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| tripple-LED flash,5 MP| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,N/A,FM radio,microUSB 2.0,Accelerometer| proximity,Li-Ion 2600 mAh battery,Gold| Charcoal Grey,160,http://cdn2.gsmarena.com/vv/bigpic/panasonic-p88.jpg,N/A
